,VoiceClip_No,TextTranscripts,label,processed_content
20,Voice21,"I have a loss of signal blinking red lights on my router.the LOS is flashing red after the storm.but I've only looked indoors and this happened a few hours ago before the storm. I paid yesterday, so don't blame me.You better fix it quickly 
.",Agg,loss signal blink red light lo flash red look indoor happen hour ago storm paid yesterday blame better fix quickli
21,Voice22,"Hello, I have made a complaint regarding the picture not appearing on our TV.
I have been making this complain from yesterday night.
",Agg,hello made complaint regard pictur appear make complain yesterday night
22,Voice23,Now what i want to know is that i have a got a message saying to pay the arreas upto october otherwise this line will be disconnected. can you tell me what is the arrears upto october. Is that the minimum payment i should pay,Non,want know got messag say pay arrea upto octob otherwis line disconnect tell arrear upto octob minimum payment pay
23,Voice24,"Yeah, in the router there is a LOS bar which is blinking in red right now.Yeah, I need to just make it a high priority because this is a business shop.
So, I cannot do anything without this internet connection.",Non,yeah router lo bar blink red right need make high prioriti busi shop anyth without internet connect
24,Voice25,"
 So I made a few complaints last few days, but still no one attending to the resolved that issue.Yes, still there are some noises coming, and the internet not working.
 ",Non,made complaint last day still one attend resolv still nois come internet work
25,Voice26,"Yes hello, yesterday I made the complaint about my telephone
after the rain there's a big blackout came and a island wide powercut
After power cut our router is gone",Non,ye hello yesterday made complaint telephon rain big blackout came island wide powercut power cut router gone
26,Voice27,"
Why is it that you people  get delay in giving response from your  office
I have been waiting, waiting ,Till after 5 minutes only you are all connected
Anyway, as far as possible try to conduct us as early as possible which is really good for everybody
",Agg,peopl get delay give respons offic wait wait till minut connect anyway far possibl tri conduct earli possibl realli good everybodi
27,Voice28,"My wifi is not working Without that I cannot work, I am using my mobile data right now 
So I have a lot of meetings to attend, so for that I need the internet, can you inform your team to come as soon as possible ",Agg,wifi work without work use mobil data right lot meet attend need internet inform team come soon possibl
28,Voice29,"I made a complain regarding my fiber connction last week and I've been  calling for the past three days. They're not doing anything, no?What is their problem? 

",Agg,made complain regard fiber connction last week call past three day anyth problem
29,Voice30,"Today After the payment i did not get any message regarding that the payment was done
Usually When I pay after that, it will come to my SMS. Today it didn't come, that's why I called.
",Non,today payment get messag regard payment done usual pay come sm today come call
30,Voice31," from today morning, I think because of  the lightning and the rain, the connection got lost.
 can I have a technician to check on my phone connection?
 ",Non,today morn think lightn rain connect got lost technician check phone connect
31,Voice32,"Do you know how much GB I've used for this month? And also What's your GB pricing the costing?

",Non,know much use month also price cost
32,voice33,Can you please add 10 GB to this number?,Non,pleas add number
33,Voice34,"There is a problem in my connection It just has only two lights the others are not working. Only the 
Power button is working and the Wi-Fi button is working. I mean the light
Telephone line is also connected to the router",Non,problem connect two light other work power button work button work mean light telephon line also connect router
34,Voice35,"
Fix the fiber cable hanging on the electrical line now! The voice line's a mess, and your pathetic router isn't cutting it.Resolve this within today or else you will loose a customer.",Agg,fix fiber cabl hang electr line voic line mess pathet router cut within today els loos custom
35,Voice36,"I'm fed up with your billing chaos. Where are my hard copy bills? I want them now, not some lame text messages. Fix this billing mess ",Agg,fed bill chao hard copi bill want lame text messag fix bill mess
36,Voice37,"Hello.i want to disconnect my SLT line cause I have been calling you all for the past few days telling that my internet connection is not working and none of you all attended to my problem . Usless SLT services 
",Agg,want disconnect slt line caus call past day tell internet connect work none attend problem usless slt servic
37,Voice38,My bill is showing charges for a service I never used.can you check those charges,Non,bill show charg servic never check charg
38,Voice39,One of your agent was really rude to me. I want to complain about your bloody agent,Agg,one agent realli rude want complain bloodi agent
39,Voice40,Can you check my remaning amount of GB during the day time,Non,check reman amount day time
40,Voice41,There's a problem with my billing. Can you help me understand?,Non,problem bill help understand
41,voice42,Unbelievable! My phone service is still down after days. Your lack of urgency is appalling. Fix it now or I'm switching to a provider who cares.,Agg,unbeliev phone servic still day lack urgenc appal fix switch provid care
42,Voice43,"I'm tired of your excuses! This Internet's a mess, and your support is useless.",Agg,tire excus internet mess support useless
43,Voice44,"Had a technician visit, but the issue is still there. What should I do next ?",Non,technician visit issu still next
44,Voice 45,"Hi, I want to shift to another data package because the one im using right now is not enough for me.How can I request to change my package ",Non,want shift anoth data packag one use right enough request chang packag
45,Voice46,You people are incompetent! I've been on hold forever!,Agg,peopl incompet hold forev
46,Voice47,Can I know Why was I overcharged on my last bill?,Non,know overcharg last bill
47,Voice48,"Last time I called Your agent said a technical support will be sent to my place within the day, but nobody is here.you guys are terrible I can't believe how bad this service is",Agg,last time call agent said technic support sent place within day nobodi guy terribl believ bad servic
48,Voice49,"Hi,Currently I have the ADSL connection how can I upgrade it to fiber optic connection. Could you please tell me the process",Non,current adsl connect upgrad fiber optic connect could pleas tell process
49,Voice50,Need clarification on the recent payment. Service is still off,Non,need clarif recent payment servic still
50,Voice51,I'm fed up with your excuses! My phone service has been down for days. Your lack of urgency is unacceptable. Fix it immediately  ,Agg,fed excus phone servic day lack urgenc unaccept fix immedi
51,Voice52,"I would like to add on some GB to my connection.and also I want to upgarde my internert package
",Non,would like add also want upgard internert packag
52,Voice53,"Hi,can you check and let me know when was the last day I have done the payment and how much more I should pay ",Non,check let know last day done payment much pay
53,Voice54,i've been experiencing some issues with my internet service. Can we work together to troubleshoot and resolve the problem? I appreciate your assistance in ensuring a smooth connection. Thank you for your help.,Non,experienc issu internet servic work togeth troubleshoot resolv problem appreci assist ensur smooth connect thank help
54,Voice55,"I've observed an increase in my bill, and I'm seeking clarification on the additional charges.",Non,observ increas bill seek clarif addit charg
55,Voice56,"
Your agent is no good! I've been passed around, and my problem isn't getting fixed. Tired of the excuses. ",Agg,agent good pass around problem get fix tire excus
56,Voice 57,"Your IVR system is a nightmare! It's a maze of options, and I can never reach a real person.",Agg,ivr system nightmar maze option never reach real person
57,Voice58,"I wanted to share a positive experience with one of your agents. They were incredibly helpful and patient, addressing my concerns with efficiency. Please pass on my gratitude for their excellent assistance",Non,want share posit experi one agent incred help patient address concern effici pleas pass gratitud excel assist
58,Voice59,"I wanted to express my concern about the recent service visit. The technician seemed unsure about the issue, and the problem persists. Can we arrange another visit ",Non,want express concern recent servic visit technician seem unsur issu problem persist arrang anoth visit
59,Voice60,"Today your technician came to my place to fix the internet problem and that person dose not know how to talk to their customers politely.I want to make a complain against that Technician
",Agg,today technician came place fix internet problem person dose know talk custom want make complain technician
60,Voice61,"I've been asking for five days to reactivate my line, but no response. The kandy branch office is unresponsive, often not picking up, and even disconnecting calls. I need this resolved, and I'm filing a complaint ",Agg,ask five day reactiv line respons kandi branch offic unrespons often pick even disconnect call need resolv file complaint
61,Voice62,The internet connection im using right now is really slow so how can I speed up the connection,Non,internet connect use right realli slow speed connect
62,Voice 63,"My line is inactive for days. Matara office isn't cooperating; they don't pick up, cut calls. Urgent complaint needed! This is unacceptable for a business.",Agg,line inact day matara offic cooper pick cut call urgent complaint need unaccept busi
63,Voice64," I settled my balance today,I usually get an SMS confirmation, but not today. I paid 1300. Can you check and resolve this? Whether I have done the payment ",Non,settl balanc today usual get sm confirm today paid 1300 check resolv whether done payment
64,Voice65,"My internet is painfully slow, making work impossible. Can you fix it?",Agg,internet pain slow make work imposs fix
65,Voice66,Phone got disconnected after a late payment. What can I do to resolve the connection back,Non,phone got disconnect late payment resolv connect back
66,Voice67,I have been calling telcome for the past two days to fix my internet connection which got disconnected because of the heavy storms.and until now no one came to fix the issue.,Agg,call telcom past two day fix internet connect got disconnect heavi one came fix issu
67,Voice68,Can I check the oustanding balance for this number 0112921097 ,Non,check oustand balanc number
68,Voice69,"My patience is running out! Internet outages every week. I'm paying for frustration, not service. I won't tolerate this any longer! Really disappointed with your service.",Agg,patienc run internet outag everi week pay frustrat servic toler longer realli disappoint servic
69,Voice70,Hi how can I activate your Meet Max package and can I know how much data will be given in this package?and also the price charged for this package ,Non,activ meet max packag know much data given packag also price charg packag
70,Voice71,"I'm interested in your internet plans. Can you provide details on speeds, pricing, and installation?",Non,interest internet plan provid detail speed price instal
71,Voice72,Your service has been consistently poor. Constant outages and slow speeds. I'm frustrated and considering switching providers.whats the process to disconnect your service ,Agg,servic consist poor constant outag slow speed frustrat consid switch process disconnect servic
72,Voice73,"I recently moved to colombo . How can I update my address on file? Also, any changes needed for billing information",Non,recent move colombo updat address file also chang need bill inform
73,Voice74,"My internet is down, and it's killing my work! I demand immediate action to fix this. ",Agg,internet kill work demand immedi action fix
74,Voice75,"I've noticed an incorrect charge on my bill. Can you review and correct it? It's urgent, and I need it resolved.",Non,notic incorrect charg bill review correct urgent need resolv
75,Voice76,"My internet is down, and it's crippling my work! Immediate action is non-negotiable.. This level of service is unacceptable, and I won't tolerate it any longer.",Agg,internet crippl work immedi action level servic unaccept toler longer
76,Voice77,Hi. My connection was disconnected because I got late to do the payment.I did the payment today so how long will it take to reactivate my connection.Its really urgent for me to get the connection back as I have an online exam ,Non,connect disconnect got late payment today long take reactiv realli urgent get connect back onlin exam
77,Voice78,Can you activate 20 more GB for my connection,Non,activ connect
78,Voice79,"I made a router payment last week , but it's not credited. The error is your fault, not mine! Fix it as soon as possible or face consequences. I won't tolerate this incompetence reconnect my line now!






",Agg,made router payment last week credit error fault mine fix soon possibl face consequ toler incompet reconnect line
79,Voice80,Can I know why we don’t get physical bills anymore ,Non,know get physic bill anymor
80,Voice81,"I've got red lights on my router and been complaning SLT,no action taken.I won't tolerate delays. Get your act together and restore my service immediately! This is unacceptable, and I demand urgent resolution",Agg,got red light router complan slt action toler delay get act togeth restor servic immedi unaccept demand urgent resolut
81,Voice82,"I requested a data plan change, but your agent mishandled it. This is frustrating. Ensure your staff processes requests accurately.",Agg,request data plan chang agent mishandl frustrat ensur staff process request accur
82,Voice83,TV remote not working. Buttons don't respond. Need it fixed soon. It's a problem. Please help so I can use the remote without any issues,Non,remot work button respond need fix soon problem pleas help use remot without issu
83,Voice84,I wish to sign up for a prepaid billing plan.  assist me with the enrollment process and provide details about the plan's features and terms. ,Non,wish sign prepaid bill plan assist enrol process provid detail plan featur term
84,Voice85,"
My internet is broken, and the person I talked to couldn't help. It's frustrating. They need better people or they'll lose customers. Fix my internet now or I'll find someone who can by disconnecting the SLT services",Agg,internet broken person talk could help frustrat need better peopl lose custom fix internet find someon disconnect slt servic
85,Voice86,My TV channels are blurry and unclear. It's annoying. Can you fix it soon so I can watch without any problems?,Agg,channel blurri unclear annoy fix soon watch without problem
86,Voice87,"I'm facing difficulty accessing my online billing account. . Could you please assist me in solving this issue ?




",Non,face difficulti access onlin bill account could pleas assist solv issu
87,Voice88,There's a problem with my billing. Can you help me understand?,Non,problem bill help understand
88,Voice89,"
Your resolution for my previous complaint is unacceptable! I demand a satisfactory solution immediately. This incompetence is intolerable.Really Disappointed",Agg,resolut previou complaint unaccept demand satisfactori solut immedi incompet disappoint
89,Voice90,My bill is showing charges for a premium service I canceled.,Non,bill show charg premium servic cancel
90,Voice91,Your customer service agent was unbelievably rude and utterly unhelpful!. I demand an immediate explanation and a resolution to this outrageous behavior. I won't tolerate such disrespect. ,Agg,custom servic agent unbeliev rude utterli unhelp demand immedi explan resolut outrag behavior toler disrespect
91,Voice92,The call dropped repeatedly during my conversation with your agent. It'sreally annoying. Fix your lousy service immediately! ,Agg,call drop repeatedli convers agent annoy fix lousi servic immedi
92,Voice93,Your agent failed to provide a timely response to my problem. You all could do a better service than this. ,Agg,agent fail provid time respons problem could better servic
93,Voice94,"Your promise of a callback from HR regarding my complaint is a lie! This negligence is intolerable, and I won't tolerate being ignored. ",Agg,promis callback regard complaint lie neglig intoler toler ignor
94,Voice95,"I received a late payment notice, but I paid on time.Can you check the issue please?",Non,receiv late payment notic paid check issu pleas
95,Voice96,I received a bill for a line I canceled last month.Please make sure to update your system about my cancellation so that I wont be getting bills in the future.,Agg,receiv bill line cancel last make sure updat system cancel wont get bill futur
96,Voice97,"

I'm being billed for something I never asked for . Return the additionally charged  money immediately. Make sure to Update your systems to avoid such inconveniences ",Agg,bill someth never ask return addit charg money immedi make sure updat system avoid inconveni
97,Voice98,Can I know the remaning GB for the peak time?,Non,know reman peak time
98,Voice99,Landline phone not working during storms.,Non,landlin phone work storm
99,Voice100,"The agent who answered my call today took over 10 minutes to provide a solution, and I had to wait on the line for that entire duration. SLT is failing as service provider. Dialog employee would do a better job than you guys",Agg,agent answer call today took minut provid solut wait line entir durat slt fail servic provid dialog employe would better job guy
100, Voice101                      ,I need a breakdown of the charges on my bill.,Non,need breakdown charg bill
101,Voice102,"What bullshit are you talking about. I paid Rs.12000 yesterday. How can you say that I didn’t do the payment
",Agg,bullshit talk paid yesterday say payment
102,Voice103,The agent did not provide clear instructions on how to submit required documents to get the new fiber connection.Could you assign me to a person who knows how this process works.Because I need this Connection urgently,Agg,agent provid clear instruct submit requir document get new fiber assign person know process need connect urgent
103,Voice104,The bill was sent to the wrong address.,Non,bill sent wrong address
104,Voice105,Router not connecting to devices.Can I know the reason why this is not connecting ?,Non,router connect know reason connect
105,Voice106,The representative was unprofessional during our conversation.Advice your agents on how to talk with the customers poliety ,Agg,repres unprofession agent talk custom polieti
106,Voice107,"We just spoke over the phone, and I'm not happy about how one of your agents behaved. Help your team to be more polite and please. Customer service is important.",Agg,spoke phone happi one agent behav help team polit pleas custom servic import
107,Voice108,Internet speed is much slower than expected.What can I do from my end to increase the speed of my connection?,Non,internet speed much slower end increas speed connect
108,Voice109,"Im calling because you guys over charged me. My subscription for you guys is supposed to be a flat rate of Rs 3000 per month but for some reason, I am seeinng Rs 6400 on my bill for the month of july.so I don’t know whats going on .I really need an explanation on this.",Agg,call guy charg subscript guy suppos flat rate 3000 per month reason seeinng 6400 bill month know what go realli need explan
109,Voice110,"Yeah, Can you please tell them it's urgent and running a business here? I want you to solve my connection today itself.",Agg,yeah pleas tell urgent run busi want solv connect today
110,Voice111,I didn't receive a bill for this month.,Non,receiv bill month
111,Voice112,Fed up with unreliable service and billing errors. Canceling your service!,Agg,fed unreli servic bill error cancel servic
112,Voice113,A complain was done under the name K.perera last week and we have been calling SLT numerous times but we still didn’t get anyone to fix this problem.,Agg,complain done name last week call slt numer time still get anyon fix problem
113,Voice114,How much should I pay to reactivate my connection ?,Non,much pay reactiv connect
114,Voice115,I had a hard time reaching your HR department using the given contact number.Why can't they answer the phone calls we take. hope you understand how important it is to be reachable.,Agg,hard time reach depart use given contact answer phone call take hope understand import reachabl
115,Voice116,I have two SLT connections under the name K.L.R.Gomes and I want to disconnect one of the connections.To whom should I inform about this,Non,two slt connect name want disconnect one inform
116,Voice117," Hello, I'm interested in your Fiber optic services. Can you provide more information about the packages you offer for this connection?",Non,hello interest fiber optic servic provid inform packag offer connect
117,Voice118,HR promised a callback on my complaint but it never happened. This is really stupid!  I need you to Take action on this matter right away,Agg,promis callback complaint never happen realli stupid need take action matter right away
118,Voice119,I checked the payment with the bank receipt I found that the router account number that I have put has an additional digits so it may not have gone through. Can I give you the details?,Non,check payment bank receipt found router account number put addit digit may gone give detail
119,Voice120,I made a complaint regarding our internet connection but still I didn't get any reply from your side. So can you please check whether what is the status?,Non,made complaint regard internet connect still get repli side pleas check whether statu
120,Voice121,I get the text message saying this much is due and you have to pay it or something like that. I want to get a bill before I make the payment.,Non,get text messag say much due pay someth like want get bill make payment
121,Voice122,I want to make an complain against the kiribathgoda workshop staff.I am really upset by the disrespectful actions of your Kiribathgoda workshop staff.They don’t know how to handle their customers with respect,Agg,want make complain kiribathgoda workshop realli upset disrespect action kiribathgoda workshop know handl custom respect
122,Voice123,"Hi,I just made a payment on your MYSLT app, but shockingly, no confirmation. My account still shows an outstanding balance.This happened to me twice now. Why cant you all update your systems properly.",Agg,made payment myslt app shockingli confirm account still show outstand happen twice cant updat system properli
123,Voice124,"I can't believe it! I was put on hold for over an hour. I wanted to give up, but I couldn't cause I wanted a solution and sometimes your agents does not answer the phones.",Agg,believ put hold hour want give could caus want solut sometim agent answer phone
124,Voice125,Your Call center agents takes ages to answer the phone call and we have to stay on line for more that 10 minuties.Do you think we are jobless people like you guys. ,Agg,call center agent take age answer phone call stay line think jobless peopl like guy
125,Voice126,I have got a message to pay arrears up to October otherwise the line will be disconnected can you tell me what is the amount up to October?,Non,got messag pay arrear octob otherwis line disconnect tell amount octob
126,Voice127,"Hi,I want to know the difference between the monthly charge and the payable charge.",Non,want know differ monthli charg payabl charg
127,Voice128,"Because first of all, half the time they don't pick up the phone. When I call them, they cut my phone and that's why I'm calling you ",Agg,first half time pick phone call cut phone call
128,Voice129,Hi i just want to check with the home connection. if i give you the number can you tell me the outstanding.it's 0112961843.,Non,want check home connect give number tell
129,Voice130,"Why do you guys always tell that my complain is not recoreded in the system.Am I mad to complain about your service to another telecomunication service.It should be in your systems. Check properly
",Agg,guy alway tell complain recored mad complain servic anoth telecomun system check properli
130,Voice131,Is this number registered to E-bill?,Non,number regist
131,Voice132,If I give you the number can you tell me the outstanding?,Non,give number tell outstand
132,Voice133,The call center agent provided unclear information about my data plan.Train your agents properly!,Agg,call center agent provid unclear inform data agent properli
133,Voice134,I want to change my package. Can I do it using MYSLT app?,Non,want chang packag use myslt app
134,Voice135,Your service is the worst service I ever got !,Agg,servic worst servic ever got
135,Voice136,"Since this is a business store, I am entirely depend on internet! This has to be given top attention at this point! This is not appropriate, and I want my connection to be reconnected right now!",Agg,sinc busi store entir depend internet given top attent point appropri want connect reconnect right
136,Voice137,"I made a few complaints last few days, but still no one attending to the resolved that issue.Can you please get this done soon. We expect better services from you",Agg,made complaint last day still one attend resolv pleas get done soon expect better servic
137,Voice138," Do something soon , or I'm canceling your service. Unacceptable service. Enough is enough",Agg,someth soon cancel servic unaccept servic enough enough
138,Voice139,"so I want the voice, internet and the PEO TV to be working properly. How long approximately will it take?",Non,want voic internet peo work properli long approxim take
139,Voice140,What do you mean it's not updated? I've been calling for the last three days and there's no update? Are you kidding me?,Agg,mean updat call last three day updat kid
140,Voice141,1212 hotline takes ages to answer the phone.We got work to do and we cant be holding the phone forever,Agg,1212 hotlin take age answer got work cant hold phone forev
141,Voice142,I don't get the bill through email regularly or there is a problem.,Non,get bill email regularli problem
142,Voice143,What is the real problem with this industry? We cant  get our work done easily,Agg,real problem industri cant get work done easili
143,Voice144,how long will you all take to fix this problem.? I need a sloution as soon as possible,Agg,long take fix need sloution soon possibl
144,Voice145,The billing portal is not displaying my recent transactions.,Non,bill portal display recent transact
145,Voice146,We pay big big amounts to your service and this is what we get in the return.Disappointed with your service. I want you to fix my issue soon,Agg,pay big big amount servic get servic want fix issu soon
146,Voice147, I'm switching to a provider who values customers since your service is not acceptable,Agg,switch provid valu custom sinc servic accept
147,Voice148,Your agent was unable to guide me through the process of updating my personal information.,Agg,agent unabl guid process updat person inform
148,Voice149,I need a receipt for my last payment.,Non,need receipt last payment
149,Voice150,How can I request to get physical bills.Becasue your e billing method is a mess and its annoying ,Agg,request get physic bill method mess annoy
150,Voice151,The customer service agent was rude and unhelpful.,Agg,custom servic agent rude unhelp
151,Voice152,"Get me someone who knows what they're doing, or I'm finding a different service. This is terrible service, and I won't put up with it.",Agg,get someon know find differ servic terribl servic put
152,Voice153,Your agent talked back- to- back with me.This is beyond unacceptable.,Agg,agent talk back beyond unaccept
153,Voice154,I need my issues solved as soon as possible because this level of poor work is unforgivable!,Agg,need issu solv soon possibl level poor work unforgiv
154,Voice155,Can I add 20 more GB for my connection?,Non,add connect
155,Voice156,Your 1212 hotline has endless loops and it's frustrating. It's driving me crazy. ,Agg,1212 hotlin endless loop frustrat drive crazi
156,Voice157,The agent did not follow up on the issue I reported in my previous call.so could you kindly tell me to whom I should report ?,Non,agent follow issu report previou could kindli tell report
157,Voice158,"Start it up right away, or you can lose a client! I have had enough of this interruption.",Agg,start right away lose client enough interrupt
158,Voice159,"There are some noises coming from the telephone, and the internet is not working.",Non,nois come telephon internet work
159,Voice160,I get the text message saying this much is due and you have to pay it or something like that. I want to get a bill before I make the payment.,Non,get text messag say much due pay someth like want get bill make payment
160,Voice161,"Why cant you respond to my issues soon. if you can't address customer concerns quickly, I'll take my business elsewhere",Agg,cant respond issu soon address custom concern quickli take busi elsewher
161,Voice162,Need to know the payabale amount of my connection?,Non,need know payabal amount connect
162,Voice163,"It indicated only one light is working in the router, Earlier about 3-4 bulbs were working but now only one bulb is working",Non,indic one light work router earlier bulb work one bulb work
163,Voice164,Tell your technical people to come and check or else they change the new router or whatever they can do and I want to get my Wi-Fi back,Agg,tell technic peopl come check els chang new router whatev want get back
164,Voice165,"I can't get my Wi-Fi, my Wi-Fi is not working at all",Non,get work
165,Voice166,"It's the worst telephone service in the whole world.  When you call any landline you get this awful Sri lankan music playing, wasting time & money for callers. Please sell this useless company to India or shut up shop!",Agg,worst telephon servic whole world call landlin get aw sri lankan music play wast time money caller pleas sell useless compani india shut shop
166,Voice167,"No words to explain how bad this company is. I had an issue with router for months. I didnt have access to data througout the time but had to pay monthly. They couldnt fix the issue all this time after a dozen or more complaints, so only option I had was to disconnect, or else continue to keep paying each month for no data",Agg,word explain bad compani issu router month didnt access data througout time pay monthli couldnt fix issu time dozen complaint option disconnect els continu keep pay month data
167,Voice168,"Very disappointing, I have been requesting for a fiber connection for past 3 years, even though the location is in Colombo, SLT couldn't fulfill my request.",Agg,disappoint request fiber connect past year even though locat colombo slt could fulfil request
168,Voice169,So much attitude with these people who work here! This goes to the SLT Call Center too. ,Agg,much attitud peopl work goe slt call center
169,Voice170,Services provided worse than a government office. Internet breaks down regularly. Technical team only works from 9am - 5pm. If you have issues any time after 5pm will have to wait a whole day to get it resolved.,Agg,servic provid wors govern offic internet break regularli technic team work 9am 5pm issu time 5pm wait whole day get resolv
170,Voice171,Your automated fault complain hotline is useless. Have to wait at least 10 mins to get in contact with a call center operator. Even then they give little to no help. Customer service is absolutely useless. Would not recommend to anyone,Agg,autom fault complain hotlin useless wait least min get contact call center oper even give littl help custom servic absolut useless would recommend anyon
171,Voice172,"Experienced poor customer service for the first time with SLT this week. Reported a router fault to customer care, a technician called and didnt turn up and the complaint was closed with out resolving my issue.",Agg,experienc poor custom servic first time slt week report router fault custom care technician call didnt turn complaint close resolv issu
172,Voice173,im stuck with a bad internet connection and broken router.,Non,stuck bad internet connect broken router
173,Voice174,For what purpose have you guys mentioned the contact number? No one is answering the phone.,Agg,purpos guy mention contact number one answer phone
174,Voice175,Worst customer service I have ever encountered. Hotline numbers don't always work. ,Agg,worst custom servic ever encount hotlin number alway work
175,Voice176,Very poor and  slow service.even your websites are not working properly.you will have to be very much patient if you want to pay the bill online. It always asks to try again later.strongly disrecommending to other if  trying to get a newer connection from slt. ,Agg,poor slow websit work much patient want pay bill onlin alway ask tri disrecommend tri get newer connect slt
176,Voice177," We get really dissapointed when there's a network problem while at an important zoom meeting, and also you don't answer for a long period of time.Will not use SLT Connections",Agg,get realli dissapoint network problem import zoom meet also answer long period use slt connect
177,Voice178,The experience was good. Your agent responded positively for all the clarifications I had,Non,experi good agent respond posit clarif
178,Voice179,My connection is not so stable so I have sent them 8 emails and I called SLT more than 10 times to inform about the situation. Their customer service representatives are always keeping my records and they always said that my ticket is prioritized in their list but nothing happened,Agg,connect stabl sent email call slt time inform situat custom servic repres alway keep record alway said ticket priorit list noth happen
179,Voice180,"I got fibre connection from SLT on March & as soon it got fixed my router LOS started blinking in Red, So made my first complain in March end & since then every single day calling slt but until now 24th May not even a single person/  technician contacted me for fix the issue. Worse services of this so called best telecommunication company in Sri Lanka",Agg,got fibr connect slt march soon got fix router lo start blink red made first complain march end sinc everi singl day call slt 24th may even singl technician contact fix issu wors servic call best telecommun compani sri lanka
180,Voice181,There wasn't a single day went without issues after obtaining the new fiber  connection from you guys . I USUALLY have to call you tens and hundreds of times to get the technical team to come and fix the issues. Youn  take us for idiots when we contact the call center,Agg,singl day went without issu obtain new fiber connect guy usual call ten hundr time get technic team come fix issu youn take idiot contact call center
181,Voice182,Worst customer service. Its been more than 24 hours logged a complain but no response from. Even when we phoned you no answer. SLT was once a company I liked the most but now it's now very worth.,Agg,worst custom servic hour log complain respons even phone answer slt compani like worth
182,Voice183,Very bad bad customer service. Cannot contact any agent at all even tho you say it’s 24 hours  customer service. Disappointed.,Agg,bad bad custom servic contact agent even tho say hour custom servic disappoint
183,Voice184,Very poor service...Peo TV has not been working more than week now..came twice but unable to fixed..phone connection and broadband also not working since 3 days complain 3 times..but no any response yet,Agg,poor servic peo work week came twice unabl fix phone connect broadband also work sinc day complain time respons yet
