,VoiceClip_No,TextTranscripts,label,processed_content
20,Voice21,"I have a loss of signal blinking red lights on my router.the LOS is flashing red after the storm.but I've only looked indoors and this happened a few hours ago before the storm. I paid yesterday, so don't blame me.You better fix it quickly 
.",Agg,loss signal blinking red lights los flashing red looked indoors happened hours ago paid blame better fix quickly
21,Voice22,"Hello, I have made a complaint regarding the picture not appearing on our TV.
I have been making this complain from yesterday night.
",Agg,made complaint regarding picture appearing making complain yesterday
22,Voice23,Now what i want to know is that i have a got a message saying to pay the arreas upto october otherwise this line will be disconnected. can you tell me what is the arrears upto october. Is that the minimum payment i should pay,Non,want know got message saying pay arreas upto october otherwise line tell arrears upto minimum payment pay
23,Voice24,"Yeah, in the router there is a LOS bar which is blinking in red right now.Yeah, I need to just make it a high priority because this is a business shop.
So, I cannot do anything without this internet connection.",Non,router los bar blinking red right need make high priority business cannot anything without internet
24,Voice25,"
 So I made a few complaints last few days, but still no one attending to the resolved that issue.Yes, still there are some noises coming, and the internet not working.
 ",Non,made complaints last still one attending resolved still noises internet
25,Voice26,"Yes hello, yesterday I made the complaint about my telephone
after the rain there's a big blackout came and a island wide powercut
After power cut our router is gone",Non,yes yesterday made complaint telephone rain big blackout came island wide powercut power cut router gone
26,Voice27,"
Why is it that you people  get delay in giving response from your  office
I have been waiting, waiting ,Till after 5 minutes only you are all connected
Anyway, as far as possible try to conduct us as early as possible which is really good for everybody
",Agg,people get delay giving response office waiting minutes connected far possible try conduct early possible really good everybody
27,Voice28,"My wifi is not working Without that I cannot work, I am using my mobile data right now 
So I have a lot of meetings to attend, so for that I need the internet, can you inform your team to come as soon as possible ",Agg,wifi working without cannot using mobile data right lot meetings need inform team come soon possible
28,Voice29,"I made a complain regarding my fiber connction last week and I've been  calling for the past three days. They're not doing anything, no?What is their problem? 

",Agg,made complain regarding fiber connction last week calling past three
29,Voice30,"Today After the payment i did not get any message regarding that the payment was done
Usually When I pay after that, it will come to my SMS. Today it didn't come, that's why I called.
",Non,today payment get message regarding payment done usually pay come today
30,Voice31," from today morning, I think because of  the lightning and the rain, the connection got lost.
 can I have a technician to check on my phone connection?
 ",Non,today think lightning connection got technician check phone
31,Voice32,"Do you know how much GB I've used for this month? And also What's your GB pricing the costing?

",Non,know much used also pricing
32,voice33,Can you please add 10 GB to this number?,Non,please add
33,Voice34,"There is a problem in my connection It just has only two lights the others are not working. Only the 
Power button is working and the Wi-Fi button is working. I mean the light
Telephone line is also connected to the router",Non,problem connection two lights others power button working button mean light telephone line also connected router
34,Voice35,"
Fix the fiber cable hanging on the electrical line now! The voice line's a mess, and your pathetic router isn't cutting it.Resolve this within today or else you will loose a customer.",Agg,fix fiber cable hanging electrical line voice pathetic router cutting within today else loose
35,Voice36,"I'm fed up with your billing chaos. Where are my hard copy bills? I want them now, not some lame text messages. Fix this billing mess ",Agg,fed billing hard copy want lame text fix billing mess
36,Voice37,"Hello.i want to disconnect my SLT line cause I have been calling you all for the past few days telling that my internet connection is not working and none of you all attended to my problem . Usless SLT services 
",Agg,want disconnect slt line cause calling past days telling internet connection working none attended problem usless slt services
37,Voice38,My bill is showing charges for a service I never used.can you check those charges,Non,bill showing charges service never check charges
38,Voice39,One of your agent was really rude to me. I want to complain about your bloody agent,Agg,one agent really rude want complain bloody agent
39,Voice40,Can you check my remaning amount of GB during the day time,Non,check remaning amount day time
40,Voice41,There's a problem with my billing. Can you help me understand?,Non,problem help
41,voice42,Unbelievable! My phone service is still down after days. Your lack of urgency is appalling. Fix it now or I'm switching to a provider who cares.,Agg,phone service still lack urgency fix switching provider
42,Voice43,"I'm tired of your excuses! This Internet's a mess, and your support is useless.",Agg,tired support
43,Voice44,"Had a technician visit, but the issue is still there. What should I do next ?",Non,technician issue still next
44,Voice 45,"Hi, I want to shift to another data package because the one im using right now is not enough for me.How can I request to change my package ",Non,want shift another data package one using right enough request change package
45,Voice46,You people are incompetent! I've been on hold forever!,Agg,people hold
46,Voice47,Can I know Why was I overcharged on my last bill?,Non,know overcharged last
47,Voice48,"Last time I called Your agent said a technical support will be sent to my place within the day, but nobody is here.you guys are terrible I can't believe how bad this service is",Agg,last time called agent said technical support sent place within nobody guys terrible believe bad service
48,Voice49,"Hi,Currently I have the ADSL connection how can I upgrade it to fiber optic connection. Could you please tell me the process",Non,adsl connection upgrade fiber optic could please tell process
49,Voice50,Need clarification on the recent payment. Service is still off,Non,need clarification recent service still
50,Voice51,I'm fed up with your excuses! My phone service has been down for days. Your lack of urgency is unacceptable. Fix it immediately  ,Agg,fed phone service lack urgency fix immediately
51,Voice52,"I would like to add on some GB to my connection.and also I want to upgarde my internert package
",Non,would like add also want upgarde internert package
52,Voice53,"Hi,can you check and let me know when was the last day I have done the payment and how much more I should pay ",Non,check let know last day done payment much pay
53,Voice54,i've been experiencing some issues with my internet service. Can we work together to troubleshoot and resolve the problem? I appreciate your assistance in ensuring a smooth connection. Thank you for your help.,Non,experiencing issues internet work together troubleshoot resolve appreciate assistance ensuring smooth thank
54,Voice55,"I've observed an increase in my bill, and I'm seeking clarification on the additional charges.",Non,observed increase seeking clarification additional
55,Voice56,"
Your agent is no good! I've been passed around, and my problem isn't getting fixed. Tired of the excuses. ",Agg,agent passed problem getting tired
56,Voice 57,"Your IVR system is a nightmare! It's a maze of options, and I can never reach a real person.",Agg,ivr system maze never reach real
57,Voice58,"I wanted to share a positive experience with one of your agents. They were incredibly helpful and patient, addressing my concerns with efficiency. Please pass on my gratitude for their excellent assistance",Non,wanted share positive experience one incredibly helpful addressing concerns please pass gratitude excellent assistance
58,Voice59,"I wanted to express my concern about the recent service visit. The technician seemed unsure about the issue, and the problem persists. Can we arrange another visit ",Non,wanted express concern recent service technician seemed unsure problem arrange another visit
59,Voice60,"Today your technician came to my place to fix the internet problem and that person dose not know how to talk to their customers politely.I want to make a complain against that Technician
",Agg,today technician came place fix internet problem person dose know talk customers want make complain technician
60,Voice61,"I've been asking for five days to reactivate my line, but no response. The kandy branch office is unresponsive, often not picking up, and even disconnecting calls. I need this resolved, and I'm filing a complaint ",Agg,asking five days reactivate kandy branch office often picking even disconnecting need filing complaint
61,Voice62,The internet connection im using right now is really slow so how can I speed up the connection,Non,internet connection using right really slow speed connection
62,Voice 63,"My line is inactive for days. Matara office isn't cooperating; they don't pick up, cut calls. Urgent complaint needed! This is unacceptable for a business.",Agg,line inactive matara office pick cut urgent complaint unacceptable
63,Voice64," I settled my balance today,I usually get an SMS confirmation, but not today. I paid 1300. Can you check and resolve this? Whether I have done the payment ",Non,settled balance usually get sms paid check resolve whether done payment
64,Voice65,"My internet is painfully slow, making work impossible. Can you fix it?",Agg,internet painfully making work fix
65,Voice66,Phone got disconnected after a late payment. What can I do to resolve the connection back,Non,phone got disconnected late resolve connection back
66,Voice67,I have been calling telcome for the past two days to fix my internet connection which got disconnected because of the heavy storms.and until now no one came to fix the issue.,Agg,calling telcome past two days fix internet connection got disconnected heavy one came fix
67,Voice68,Can I check the oustanding balance for this number 0112921097 ,Non,check oustanding balance number
68,Voice69,"My patience is running out! Internet outages every week. I'm paying for frustration, not service. I won't tolerate this any longer! Really disappointed with your service.",Agg,patience running internet outages every paying tolerate really disappointed
69,Voice70,Hi how can I activate your Meet Max package and can I know how much data will be given in this package?and also the price charged for this package ,Non,activate meet max package know much data given also price charged package
70,Voice71,"I'm interested in your internet plans. Can you provide details on speeds, pricing, and installation?",Non,interested internet provide details
71,Voice72,Your service has been consistently poor. Constant outages and slow speeds. I'm frustrated and considering switching providers.whats the process to disconnect your service ,Agg,service consistently constant outages slow frustrated considering switching process disconnect service
72,Voice73,"I recently moved to colombo . How can I update my address on file? Also, any changes needed for billing information",Non,recently moved colombo update address changes needed billing information
73,Voice74,"My internet is down, and it's killing my work! I demand immediate action to fix this. ",Agg,internet killing demand immediate action fix
74,Voice75,"I've noticed an incorrect charge on my bill. Can you review and correct it? It's urgent, and I need it resolved.",Non,noticed incorrect charge review correct need
75,Voice76,"My internet is down, and it's crippling my work! Immediate action is non-negotiable.. This level of service is unacceptable, and I won't tolerate it any longer.",Agg,internet crippling immediate action level service tolerate
76,Voice77,Hi. My connection was disconnected because I got late to do the payment.I did the payment today so how long will it take to reactivate my connection.Its really urgent for me to get the connection back as I have an online exam ,Non,connection disconnected got late payment today long take reactivate really urgent get connection back online exam
77,Voice78,Can you activate 20 more GB for my connection,Non,activate connection
78,Voice79,"I made a router payment last week , but it's not credited. The error is your fault, not mine! Fix it as soon as possible or face consequences. I won't tolerate this incompetence reconnect my line now!






",Agg,made router payment last week error fix soon possible face tolerate incompetence reconnect line
79,Voice80,Can I know why we don’t get physical bills anymore ,Non,know get physical bills anymore
80,Voice81,"I've got red lights on my router and been complaning SLT,no action taken.I won't tolerate delays. Get your act together and restore my service immediately! This is unacceptable, and I demand urgent resolution",Agg,got red lights router complaning action tolerate get act together restore service demand urgent resolution
81,Voice82,"I requested a data plan change, but your agent mishandled it. This is frustrating. Ensure your staff processes requests accurately.",Agg,requested data plan agent mishandled ensure staff processes requests
82,Voice83,TV remote not working. Buttons don't respond. Need it fixed soon. It's a problem. Please help so I can use the remote without any issues,Non,remote buttons need fixed please help use remote without issues
83,Voice84,I wish to sign up for a prepaid billing plan.  assist me with the enrollment process and provide details about the plan's features and terms. ,Non,wish sign prepaid billing assist enrollment process provide details features
84,Voice85,"
My internet is broken, and the person I talked to couldn't help. It's frustrating. They need better people or they'll lose customers. Fix my internet now or I'll find someone who can by disconnecting the SLT services",Agg,internet person talked need better people lose fix internet find someone disconnecting slt services
85,Voice86,My TV channels are blurry and unclear. It's annoying. Can you fix it soon so I can watch without any problems?,Agg,channels blurry fix soon watch without
86,Voice87,"I'm facing difficulty accessing my online billing account. . Could you please assist me in solving this issue ?




",Non,facing difficulty accessing online billing could please assist solving issue
87,Voice88,There's a problem with my billing. Can you help me understand?,Non,problem help
88,Voice89,"
Your resolution for my previous complaint is unacceptable! I demand a satisfactory solution immediately. This incompetence is intolerable.Really Disappointed",Agg,resolution previous complaint demand satisfactory solution incompetence disappointed
89,Voice90,My bill is showing charges for a premium service I canceled.,Non,bill showing charges premium service
90,Voice91,Your customer service agent was unbelievably rude and utterly unhelpful!. I demand an immediate explanation and a resolution to this outrageous behavior. I won't tolerate such disrespect. ,Agg,customer service agent unbelievably rude utterly demand immediate explanation resolution outrageous tolerate
91,Voice92,The call dropped repeatedly during my conversation with your agent. It'sreally annoying. Fix your lousy service immediately! ,Agg,call dropped repeatedly conversation fix lousy service
92,Voice93,Your agent failed to provide a timely response to my problem. You all could do a better service than this. ,Agg,agent failed provide timely response could better service
93,Voice94,"Your promise of a callback from HR regarding my complaint is a lie! This negligence is intolerable, and I won't tolerate being ignored. ",Agg,promise callback regarding complaint negligence tolerate
94,Voice95,"I received a late payment notice, but I paid on time.Can you check the issue please?",Non,received late payment paid check issue
95,Voice96,I received a bill for a line I canceled last month.Please make sure to update your system about my cancellation so that I wont be getting bills in the future.,Agg,received bill line canceled last make sure update system cancellation wont getting bills
96,Voice97,"

I'm being billed for something I never asked for . Return the additionally charged  money immediately. Make sure to Update your systems to avoid such inconveniences ",Agg,billed something never asked return additionally charged money make sure update systems avoid inconveniences
97,Voice98,Can I know the remaning GB for the peak time?,Non,know remaning peak
98,Voice99,Landline phone not working during storms.,Non,landline phone working
99,Voice100,"The agent who answered my call today took over 10 minutes to provide a solution, and I had to wait on the line for that entire duration. SLT is failing as service provider. Dialog employee would do a better job than you guys",Agg,agent answered call today took minutes provide wait line entire slt failing service dialog employee would better job guys
100, Voice101                      ,I need a breakdown of the charges on my bill.,Non,need breakdown charges
101,Voice102,"What bullshit are you talking about. I paid Rs.12000 yesterday. How can you say that I didn’t do the payment
",Agg,bullshit talking paid say payment
102,Voice103,The agent did not provide clear instructions on how to submit required documents to get the new fiber connection.Could you assign me to a person who knows how this process works.Because I need this Connection urgently,Agg,agent provide clear instructions submit required documents get new fiber assign person knows process need connection urgently
103,Voice104,The bill was sent to the wrong address.,Non,bill sent wrong
104,Voice105,Router not connecting to devices.Can I know the reason why this is not connecting ?,Non,router connecting know reason connecting
105,Voice106,The representative was unprofessional during our conversation.Advice your agents on how to talk with the customers poliety ,Agg,representative unprofessional agents talk customers poliety
106,Voice107,"We just spoke over the phone, and I'm not happy about how one of your agents behaved. Help your team to be more polite and please. Customer service is important.",Agg,spoke happy one agents help team polite customer service
107,Voice108,Internet speed is much slower than expected.What can I do from my end to increase the speed of my connection?,Non,internet speed much slower end increase speed
108,Voice109,"Im calling because you guys over charged me. My subscription for you guys is supposed to be a flat rate of Rs 3000 per month but for some reason, I am seeinng Rs 6400 on my bill for the month of july.so I don’t know whats going on .I really need an explanation on this.",Agg,calling guys charged subscription guys supposed flat rate 3000 per month seeinng 6400 bill month know whats going really need explanation
109,Voice110,"Yeah, Can you please tell them it's urgent and running a business here? I want you to solve my connection today itself.",Agg,please tell urgent running business want solve connection today
110,Voice111,I didn't receive a bill for this month.,Non,receive bill
111,Voice112,Fed up with unreliable service and billing errors. Canceling your service!,Agg,fed unreliable service billing canceling
112,Voice113,A complain was done under the name K.perera last week and we have been calling SLT numerous times but we still didn’t get anyone to fix this problem.,Agg,complain done name last week calling slt numerous times still get anyone fix
113,Voice114,How much should I pay to reactivate my connection ?,Non,much pay reactivate connection
114,Voice115,I had a hard time reaching your HR department using the given contact number.Why can't they answer the phone calls we take. hope you understand how important it is to be reachable.,Agg,hard time reaching department using given contact answer phone calls hope understand important
115,Voice116,I have two SLT connections under the name K.L.R.Gomes and I want to disconnect one of the connections.To whom should I inform about this,Non,two slt connections name want disconnect one inform
116,Voice117," Hello, I'm interested in your Fiber optic services. Can you provide more information about the packages you offer for this connection?",Non,interested fiber optic provide information packages offer
117,Voice118,HR promised a callback on my complaint but it never happened. This is really stupid!  I need you to Take action on this matter right away,Agg,promised callback complaint never really need take action matter right away
118,Voice119,I checked the payment with the bank receipt I found that the router account number that I have put has an additional digits so it may not have gone through. Can I give you the details?,Non,checked payment bank receipt found router account number put additional digits may gone give
119,Voice120,I made a complaint regarding our internet connection but still I didn't get any reply from your side. So can you please check whether what is the status?,Non,made complaint regarding internet connection still get reply please check whether
120,Voice121,I get the text message saying this much is due and you have to pay it or something like that. I want to get a bill before I make the payment.,Non,get text message saying much due pay something like want get bill make
121,Voice122,I want to make an complain against the kiribathgoda workshop staff.I am really upset by the disrespectful actions of your Kiribathgoda workshop staff.They don’t know how to handle their customers with respect,Agg,want make complain kiribathgoda workshop really upset disrespectful actions kiribathgoda workshop know handle customers respect
122,Voice123,"Hi,I just made a payment on your MYSLT app, but shockingly, no confirmation. My account still shows an outstanding balance.This happened to me twice now. Why cant you all update your systems properly.",Agg,made payment myslt account still shows outstanding happened twice cant update systems
123,Voice124,"I can't believe it! I was put on hold for over an hour. I wanted to give up, but I couldn't cause I wanted a solution and sometimes your agents does not answer the phones.",Agg,believe put hold wanted give cause wanted solution sometimes agents answer
124,Voice125,Your Call center agents takes ages to answer the phone call and we have to stay on line for more that 10 minuties.Do you think we are jobless people like you guys. ,Agg,call center agents takes ages answer phone call stay line think jobless people like
125,Voice126,I have got a message to pay arrears up to October otherwise the line will be disconnected can you tell me what is the amount up to October?,Non,got message pay arrears october otherwise line disconnected tell amount
126,Voice127,"Hi,I want to know the difference between the monthly charge and the payable charge.",Non,want know difference monthly charge payable
127,Voice128,"Because first of all, half the time they don't pick up the phone. When I call them, they cut my phone and that's why I'm calling you ",Agg,first half time pick call cut phone calling
128,Voice129,Hi i just want to check with the home connection. if i give you the number can you tell me the outstanding.it's 0112961843.,Non,want check home give number tell
129,Voice130,"Why do you guys always tell that my complain is not recoreded in the system.Am I mad to complain about your service to another telecomunication service.It should be in your systems. Check properly
",Agg,guys always tell complain recoreded mad complain service another telecomunication check properly
130,Voice131,Is this number registered to E-bill?,Non,number registered
131,Voice132,If I give you the number can you tell me the outstanding?,Non,give number tell
132,Voice133,The call center agent provided unclear information about my data plan.Train your agents properly!,Agg,call center agent provided unclear information data agents
133,Voice134,I want to change my package. Can I do it using MYSLT app?,Non,want change using myslt
134,Voice135,Your service is the worst service I ever got !,Agg,service worst service ever got
135,Voice136,"Since this is a business store, I am entirely depend on internet! This has to be given top attention at this point! This is not appropriate, and I want my connection to be reconnected right now!",Agg,since business entirely depend given top attention want connection reconnected right
136,Voice137,"I made a few complaints last few days, but still no one attending to the resolved that issue.Can you please get this done soon. We expect better services from you",Agg,made complaints last still one attending resolved please get done expect better services
137,Voice138," Do something soon , or I'm canceling your service. Unacceptable service. Enough is enough",Agg,something soon canceling unacceptable enough enough
138,Voice139,"so I want the voice, internet and the PEO TV to be working properly. How long approximately will it take?",Non,want internet peo working long approximately
139,Voice140,What do you mean it's not updated? I've been calling for the last three days and there's no update? Are you kidding me?,Agg,mean calling last three days kidding
140,Voice141,1212 hotline takes ages to answer the phone.We got work to do and we cant be holding the phone forever,Agg,1212 hotline takes ages answer got work cant holding phone forever
141,Voice142,I don't get the bill through email regularly or there is a problem.,Non,get bill email regularly
142,Voice143,What is the real problem with this industry? We cant  get our work done easily,Agg,real problem cant get work done easily
143,Voice144,how long will you all take to fix this problem.? I need a sloution as soon as possible,Agg,long take fix need sloution soon possible
144,Voice145,The billing portal is not displaying my recent transactions.,Non,billing portal displaying recent
145,Voice146,We pay big big amounts to your service and this is what we get in the return.Disappointed with your service. I want you to fix my issue soon,Agg,pay big big amounts service get want fix issue soon
146,Voice147, I'm switching to a provider who values customers since your service is not acceptable,Agg,switching provider values customers since service acceptable
147,Voice148,Your agent was unable to guide me through the process of updating my personal information.,Agg,agent unable guide process updating personal
148,Voice149,I need a receipt for my last payment.,Non,need receipt last
149,Voice150,How can I request to get physical bills.Becasue your e billing method is a mess and its annoying ,Agg,request get physical billing method mess annoying
150,Voice151,The customer service agent was rude and unhelpful.,Agg,customer service agent rude
151,Voice152,"Get me someone who knows what they're doing, or I'm finding a different service. This is terrible service, and I won't put up with it.",Agg,get someone knows finding different terrible put
152,Voice153,Your agent talked back- to- back with me.This is beyond unacceptable.,Agg,agent talked back beyond
153,Voice154,I need my issues solved as soon as possible because this level of poor work is unforgivable!,Agg,need issues solved soon possible level poor work
154,Voice155,Can I add 20 more GB for my connection?,Non,add
155,Voice156,Your 1212 hotline has endless loops and it's frustrating. It's driving me crazy. ,Agg,1212 hotline endless loops driving
156,Voice157,The agent did not follow up on the issue I reported in my previous call.so could you kindly tell me to whom I should report ?,Non,agent follow issue reported previous could kindly tell report
157,Voice158,"Start it up right away, or you can lose a client! I have had enough of this interruption.",Agg,start right lose enough
158,Voice159,"There are some noises coming from the telephone, and the internet is not working.",Non,noises coming internet
159,Voice160,I get the text message saying this much is due and you have to pay it or something like that. I want to get a bill before I make the payment.,Non,get text message saying much due pay something like want get bill make
160,Voice161,"Why cant you respond to my issues soon. if you can't address customer concerns quickly, I'll take my business elsewhere",Agg,cant respond issues address customer concerns take business elsewhere
161,Voice162,Need to know the payabale amount of my connection?,Non,need know payabale amount
162,Voice163,"It indicated only one light is working in the router, Earlier about 3-4 bulbs were working but now only one bulb is working",Non,indicated one light working earlier bulbs working one bulb working
163,Voice164,Tell your technical people to come and check or else they change the new router or whatever they can do and I want to get my Wi-Fi back,Agg,tell technical people come check else change new router whatever want get back
164,Voice165,"I can't get my Wi-Fi, my Wi-Fi is not working at all",Non,get working
165,Voice166,"It's the worst telephone service in the whole world.  When you call any landline you get this awful Sri lankan music playing, wasting time & money for callers. Please sell this useless company to India or shut up shop!",Agg,worst telephone service whole call landline get awful sri lankan music wasting time money please sell useless company india shut
166,Voice167,"No words to explain how bad this company is. I had an issue with router for months. I didnt have access to data througout the time but had to pay monthly. They couldnt fix the issue all this time after a dozen or more complaints, so only option I had was to disconnect, or else continue to keep paying each month for no data",Agg,words explain bad company issue router didnt access data througout time pay couldnt fix issue time dozen option else continue keep paying month data
167,Voice168,"Very disappointing, I have been requesting for a fiber connection for past 3 years, even though the location is in Colombo, SLT couldn't fulfill my request.",Agg,requesting fiber connection past even though location slt fulfill
168,Voice169,So much attitude with these people who work here! This goes to the SLT Call Center too. ,Agg,much attitude people work goes slt call center
169,Voice170,Services provided worse than a government office. Internet breaks down regularly. Technical team only works from 9am - 5pm. If you have issues any time after 5pm will have to wait a whole day to get it resolved.,Agg,services provided worse government internet breaks technical team works 9am issues time 5pm wait whole day get
170,Voice171,Your automated fault complain hotline is useless. Have to wait at least 10 mins to get in contact with a call center operator. Even then they give little to no help. Customer service is absolutely useless. Would not recommend to anyone,Agg,automated fault complain hotline wait least mins get contact call center even give little customer service absolutely would recommend anyone
171,Voice172,"Experienced poor customer service for the first time with SLT this week. Reported a router fault to customer care, a technician called and didnt turn up and the complaint was closed with out resolving my issue.",Agg,experienced poor customer service first time slt reported router fault customer technician called didnt turn complaint closed resolving
172,Voice173,im stuck with a bad internet connection and broken router.,Non,stuck bad internet connection broken
173,Voice174,For what purpose have you guys mentioned the contact number? No one is answering the phone.,Agg,purpose guys mentioned contact one answering
174,Voice175,Worst customer service I have ever encountered. Hotline numbers don't always work. ,Agg,worst customer service ever hotline numbers always
175,Voice176,Very poor and  slow service.even your websites are not working properly.you will have to be very much patient if you want to pay the bill online. It always asks to try again later.strongly disrecommending to other if  trying to get a newer connection from slt. ,Agg,poor slow websites working much patient want pay bill always asks try disrecommending trying get newer connection
176,Voice177," We get really dissapointed when there's a network problem while at an important zoom meeting, and also you don't answer for a long period of time.Will not use SLT Connections",Agg,get really dissapointed network problem important zoom also answer long period use slt connections
177,Voice178,The experience was good. Your agent responded positively for all the clarifications I had,Non,experience agent responded positively clarifications
178,Voice179,My connection is not so stable so I have sent them 8 emails and I called SLT more than 10 times to inform about the situation. Their customer service representatives are always keeping my records and they always said that my ticket is prioritized in their list but nothing happened,Agg,connection stable sent emails called slt times inform customer service representatives always keeping records always said ticket prioritized list nothing happened
179,Voice180,"I got fibre connection from SLT on March & as soon it got fixed my router LOS started blinking in Red, So made my first complain in March end & since then every single day calling slt but until now 24th May not even a single person/  technician contacted me for fix the issue. Worse services of this so called best telecommunication company in Sri Lanka",Agg,got fibre connection slt march soon got fixed router los started blinking made first complain march end since every single day calling slt 24th may even single technician contacted fix worse services called best telecommunication company sri lanka
180,Voice181,There wasn't a single day went without issues after obtaining the new fiber  connection from you guys . I USUALLY have to call you tens and hundreds of times to get the technical team to come and fix the issues. Youn  take us for idiots when we contact the call center,Agg,single day went without issues obtaining new fiber connection guys usually call tens hundreds times get technical team come fix youn take idiots contact call center
181,Voice182,Worst customer service. Its been more than 24 hours logged a complain but no response from. Even when we phoned you no answer. SLT was once a company I liked the most but now it's now very worth.,Agg,worst customer hours logged complain response even phoned slt company liked
182,Voice183,Very bad bad customer service. Cannot contact any agent at all even tho you say it’s 24 hours  customer service. Disappointed.,Agg,bad bad customer cannot contact agent even tho say hours customer
183,Voice184,Very poor service...Peo TV has not been working more than week now..came twice but unable to fixed..phone connection and broadband also not working since 3 days complain 3 times..but no any response yet,Agg,poor working week twice unable connection broadband also working since days complain response yet
184,Voice185,Worst customer service ever. Doesnt respond to complaints or tech support. Filed over 10 complaints for the same issue over the last month still hasn't fixed it or given any responses,Agg,worst customer service doesnt respond complaints tech filed complaints issue last month still fixed given responses
185,Voice186,"Worst service ever. Not returning to complains, slow Internet speed and moreover, no transparency in data charging. Peo tv connection also the worst cable service provider ever",Agg,worst service returning slow internet speed transparency data peo connection also worst cable service provider ever
186,Voice187,The worst customer service ever..you never answer the call..TRASH,Agg,worst customer service never answer
187,Voice188,I already made the complaint to change the name and addresses under my NIC.,Non,already made complaint change name addresses
188,Voice189,Can I have a phone technician to check on my phone connection?,Non,phone technician check phone
189,Voice190,My Wifi is not working .Anything technically that you all can check or anything I can do from my end?,Non,wifi working technically check anything
190,Voice191,"Very disappointing, I have been requesting for a fiber connection for past 3 years, even though the location is in Colombo, SLT couldn't fulfill my request",Agg,requesting fiber connection past even though location slt fulfill request
191,Voice192,Poor Customer Service SLTMobitel. you have  the most ineffective telecommunications customer service I've ever experienced.,Agg,poor customer service ineffective telecommunications customer service ever
192,Voice193,Unfortunately no one there at Sri Lanka Telecom to answer customers phone calls. Not only the branches but also at head office. Very disappointed,Agg,unfortunately one sri lanka telecom answer customers phone branches also head disappointed
193,Voice194,Worst customer service ever.you people dont respond to complaints or tech support. Filed over 10 complaints for the same issue over the last month still hasn't fixed it or given any responses,Agg,worst customer service people dont respond complaints tech filed complaints issue last month still fixed given responses
