VoiceClip_No,TextTranscript,label,processed_content
Voice189,indicated only one light working the earlier about bulbs were working but now only one bulb working,Non,indicated only one light working the earlier about bulbs were working but now only one bulb working
 Voice101                      ,recently moved colombo how can update address any changes needed for billing information,Non,recently moved colombo how can update address any changes needed for billing information
Voice208,how can activate your meet max package and can know how much data will given this also the price charged for this package,Non,how can activate your meet max package and can know how much data will given this also the price charged for this package
Voice41,regarding there are two one that this phone very and the other one that fiber they have laid over the electrical now stuck and just hanging the electrical,Non,regarding there are two one that this phone very and the other one that fiber they have laid over the electrical now stuck and just hanging the electrical
Voice30,can know why was overcharged last,Non,can know why was overcharged last
Voice114,wifi connection and peo stopped working since last send someone check this,Non,wifi connection and peo stopped working since last send someone check this
Voice157,can know the amount should pay for the month decemeber and november,Non,can know the amount should pay for the month decemeber and november
voice14,want know the difference between the monthly charge and the payable,Non,want know the difference between the monthly charge and the payable
Voice104,need know the payabale amount,Non,need know the payabale amount
Voice 45,can you check and tell balance,Non,can you check and tell balance
Voice47,made complaint regarding our internet connection but still get any reply from your sideso can you please check whether what the,Non,made complaint regarding our internet connection but still get any reply from your sideso can you please check whether what the
Voice19,light not and then some other lights are not but the others are,Non,light not and then some other lights are not but the others are
Voice70,can you activate more for connection,Non,can you activate more for connection
Voice159,facing difficulty accessing online billing could you please assist solving this issue,Non,facing difficulty accessing online billing could you please assist solving this issue
Voice55,want shift another data package because the one using right now not enough for can request change package,Non,want shift another data package because the one using right now not enough for can request change package
Voice173,connection was disconnected because got late the did the payment today how long will take reactivate really urgent for get the connection back have online exam,Non,connection was disconnected because got late the did the payment today how long will take reactivate really urgent for get the connection back have online exam
voice12,the internet not the slt but can you tell,Non,the internet not the slt but can you tell
Voice5,sometimes get delay getting response from your why,Non,sometimes get delay getting response from your why
Voice70,want know the difference between the monthly charge and the payable,Non,want know the difference between the monthly charge and the payable
voice33,been experiencing some issues with internet can work together troubleshoot and resolve the appreciate your assistance ensuring smooth thank you for your,Non,been experiencing some issues with internet can work together troubleshoot and resolve the appreciate your assistance ensuring smooth thank you for your
Voice44,want increase our increase thespeed for the upload and the how fiber how then for the have reconnect,Non,want increase our increase thespeed for the upload and the how fiber how then for the have reconnect
Voice31,noticed incorrect charge can you review and correct and need,Non,noticed incorrect charge can you review and correct and need
Voice40,made complaint regarding our internet connection but still get any reply from your sideso can you please check whether what the,Non,made complaint regarding our internet connection but still get any reply from your sideso can you please check whether what the
Voice142,phone got disconnected after late what can resolve the connection back,Non,phone got disconnected after late what can resolve the connection back
Voice40,would like add some can you tell how much used during peak,Non,would like add some can you tell how much used during peak
Voice238,not possibly disconnection due loss because made the late only made payment,Non,not possibly disconnection due loss because made the late only made payment
Voice71,give you the number can you tell the,Non,give you the number can you tell the
Voice224,made few complaints last few but still one attending the resolved that still there are some noises and the internet not,Non,made few complaints last few but still one attending the resolved that still there are some noises and the internet not
Voice7,peo sports channels are not why that,Non,peo sports channels are not why that
Voice64,need clarification the recent service still off,Non,need clarification the recent service still off
Voice20,not possibly disconnection due loss because made the late only made payment,Non,not possibly disconnection due loss because made the late only made payment
Voice223,get not working all,Non,get not working all
Voice25,now what want know that have got message saying pay the arreas upto october otherwise this line will can you tell what the arrears upto that the minimum payment should pay,Non,now what want know that have got message saying pay the arreas upto october otherwise this line will can you tell what the arrears upto that the minimum payment should pay
Voice269,can know the current price the fiber connection,Non,can know the current price the fiber connection
Voice77,been experiencing some issues with internet can work together troubleshoot and resolve the appreciate your assistance ensuring smooth thank you for your,Non,been experiencing some issues with internet can work together troubleshoot and resolve the appreciate your assistance ensuring smooth thank you for your
Voice44,light not and then some other lights are not but the others are,Non,light not and then some other lights are not but the others are
Voice50,wish sign for prepaid billing assist with the enrollment process and provide details about the features and,Non,wish sign for prepaid billing assist with the enrollment process and provide details about the features and
Voice199,received late payment but paid you check the issue,Non,received late payment but paid you check the issue
Voice95,wish sign for prepaid billing assist with the enrollment process and provide details about the features and,Non,wish sign for prepaid billing assist with the enrollment process and provide details about the features and
Voice87,recently moved colombo how can update address any changes needed for billing information,Non,recently moved colombo how can update address any changes needed for billing information
Voice23,you able add more this number calling right now,Non,you able add more this number calling right now
Voice90,just want know whether you have any other router,Non,just want know whether you have any other router
Voice203,interested your internet can you provide details and,Non,interested your internet can you provide details and
Voice249,interested your internet can you provide details and,Non,interested your internet can you provide details and
Voice127,there are some noises coming from the and the internet not,Non,there are some noises coming from the and the internet not
Voice225,always have reconnect and the issue,Non,always have reconnect and the issue
 Voice101                      ,need breakdown the charges,Non,need breakdown the charges
Voice7,made complaint regarding our internet connection but still get any reply from your can you please check whether what the,Non,made complaint regarding our internet connection but still get any reply from your can you please check whether what the
voice15,now what want know that have got message saying pay the arreas upto october otherwise this line will can you tell what the arrears upto that the minimum payment should pay,Non,now what want know that have got message saying pay the arreas upto october otherwise this line will can you tell what the arrears upto that the minimum payment should pay
Voice204,need breakdown the charges,Non,need breakdown the charges
Voice117,need know the payabale amount,Non,need know the payabale amount
Voice98,the bill was sent the wrong,Non,the bill was sent the wrong
Voice54,problem with can you help,Non,problem with can you help
Voice75,landline phone not working during,Non,landline phone not working during
Voice80,get the bill through email regularly there,Non,get the bill through email regularly there
Voice5,the agent did not follow the issue reported previous could you kindly tell whom should report,Non,the agent did not follow the issue reported previous could you kindly tell whom should report
Voice19,internet speed much slower than can from end increase the speed,Non,internet speed much slower than can from end increase the speed
Voice237,can check the oustanding balance for this number,Non,can check the oustanding balance for this number
Voice216,our landline not working now under the name,Non,our landline not working now under the name
Voice173,need know the payabale amount,Non,need know the payabale amount
Voice31,noticed incorrect charge can you review and correct and need,Non,noticed incorrect charge can you review and correct and need
Voice237,have got message pay arrears october otherwise the line will disconnected can you tell what the amount,Non,have got message pay arrears october otherwise the line will disconnected can you tell what the amount
Voice98,get not working all,Non,get not working all
Voice66,sometimes get delay getting response from your why,Non,sometimes get delay getting response from your why
Voice75,regarding there are two one that this phone very and the other one that fiber they have laid over the electrical now stuck and just hanging the electrical,Non,regarding there are two one that this phone very and the other one that fiber they have laid over the electrical now stuck and just hanging the electrical
Voice139,have the adsl connection how can upgrade fiber optic could you please tell the process,Non,have the adsl connection how can upgrade fiber optic could you please tell the process
Voice80,stuck with bad internet connection and broken,Non,stuck with bad internet connection and broken
Voice269,get the bill through email regularly there,Non,get the bill through email regularly there
Voice178,want know whether will charged for the for dialing and free whenever happen dial this number charges made the,Non,want know whether will charged for the for dialing and free whenever happen dial this number charges made the
Voice64,router not connecting know the reason why this not connecting,Non,router not connecting know the reason why this not connecting
Voice202,need receipt for last,Non,need receipt for last
voice12,give you the number can you tell the,Non,give you the number can you tell the
Voice68,settled balance today and still get the confirmation know the,Non,settled balance today and still get the confirmation know the
Voice269,the router there los bar which blinking red right need just make high priority because this business cannot anything without this internet,Non,the router there los bar which blinking red right need just make high priority because this business cannot anything without this internet
Voice19,sometimes get delay getting response from your why,Non,sometimes get delay getting response from your why
Voice157,the agent did not follow the issue reported previous could you kindly tell whom should report,Non,the agent did not follow the issue reported previous could you kindly tell whom should report
Voice126,you able add more this number calling right now,Non,you able add more this number calling right now
Voice269,line was disconnected due arrears payment and paid the full can you reconnected line,Non,line was disconnected due arrears payment and paid the full can you reconnected line
Voice7,sometimes get delay getting response from your why,Non,sometimes get delay getting response from your why
Voice16,need know the payabale amount,Non,need know the payabale amount
Voice173,would like add some can you tell how much used during peak,Non,would like add some can you tell how much used during peak
Voice73,connection was disconnected because got late the did the payment today how long will take reactivate really urgent for get the connection back have online exam,Non,connection was disconnected because got late the did the payment today how long will take reactivate really urgent for get the connection back have online exam
Voice127,can you check and tell balance,Non,can you check and tell balance
Voice24,have the los light blinking red color the router got this for the few days back can know the reason for the number,Non,have the los light blinking red color the router got this for the few days back can know the reason for the number
Voice155,need receipt for last,Non,need receipt for last
Voice2,always have reconnect and the issue,Non,always have reconnect and the issue
Voice162,peo sports channels are not why that,Non,peo sports channels are not why that
Voice1,peo sports channels are not why that,Non,peo sports channels are not why that
Voice114,checked the payment with the bank receipt found that the router account number that have put has additional digits may not have gone can give you the,Non,checked the payment with the bank receipt found that the router account number that have put has additional digits may not have gone can give you the
Voice188,can know how much the minimum that should pay get back connection back,Non,can know how much the minimum that should pay get back connection back
Voice203,the router there los bar which blinking red right need just make high priority because this business cannot anything without this internet,Non,the router there los bar which blinking red right need just make high priority because this business cannot anything without this internet
Voice119,had technician but the issue still what should next,Non,had technician but the issue still what should next
Voice49,the experience was your agent responded positively for all the clarifications had,Non,the experience was your agent responded positively for all the clarifications had
Voice6,want add more data for the entertainmet,Non,want add more data for the entertainmet
voice12,have two slt connections under the name and want disconnect one the whom should inform about this,Non,have two slt connections under the name and want disconnect one the whom should inform about this
Voice19,the billing portal not displaying recent,Non,the billing portal not displaying recent
voice10,from today think because the lightning and the the connection got can have technician check phone,Non,from today think because the lightning and the the connection got can have technician check phone
Voice99,phone number billing date today from tommorrow onwards need migrate unlimited day flash,Non,phone number billing date today from tommorrow onwards need migrate unlimited day flash
Voice90,there problem connection just has only two lights the others are not only the power button working and the button mean the light telephone line also connected the router,Non,there problem connection just has only two lights the others are not only the power button working and the button mean the light telephone line also connected the router
Voice145,can add more for,Non,can add more for
Voice59,this number registered,Non,this number registered
Voice19,would like add some also want upgarde internert package,Non,would like add some also want upgarde internert package
Voice30,get not working all,Non,get not working all
Voice20,now got our line when shifted when shifted our house colombo and got our telephone line and now its not working want know why the not working,Non,now got our line when shifted when shifted our house colombo and got our telephone line and now its not working want know why the not working
Voice2,wifi not need the technical officer and extremely,Non,wifi not need the technical officer and extremely
Voice44,now got our line when shifted when shifted our house colombo and got our telephone line and now its not working want know why the not working,Non,now got our line when shifted when shifted our house colombo and got our telephone line and now its not working want know why the not working
Voice44,regarding there are two one that this phone very and the other one that fiber they have laid over the electrical now stuck and just hanging the electrical,Non,regarding there are two one that this phone very and the other one that fiber they have laid over the electrical now stuck and just hanging the electrical
Voice24,want know whether will charged for the for dialing and free whenever happen dial this number charges made the,Non,want know whether will charged for the for dialing and free whenever happen dial this number charges made the
Voice23,can you check remaning amount during the day time,Non,can you check remaning amount during the day time
Voice162,can you check remaning amount during the day time,Non,can you check remaning amount during the day time
Voice233,this number registered,Non,this number registered
voice15,sometimes get delay getting response from your why,Non,sometimes get delay getting response from your why
Voice116,light not and then some other lights are not but the others are,Non,light not and then some other lights are not but the others are
Voice73,want shift another data package because the one using right now not enough for can request change package,Non,want shift another data package because the one using right now not enough for can request change package
Voice139,regarding there are two one that this phone very and the other one that fiber they have laid over the electrical now stuck and just hanging the electrical,Non,regarding there are two one that this phone very and the other one that fiber they have laid over the electrical now stuck and just hanging the electrical
Voice117,our landline not working now under the name,Non,our landline not working now under the name
Voice62,how can activate your meet max package and can know how much data will given this also the price charged for this package,Non,how can activate your meet max package and can know how much data will given this also the price charged for this package
Voice66,just want check with you whether have made router payment the 9th november cause just checked november bill that payment has not got,Non,just want check with you whether have made router payment the 9th november cause just checked november bill that payment has not got
Voice155,can change packages anytime using the,Non,can change packages anytime using the
Voice66,bill showing charges for premium service,Non,bill showing charges for premium service
Voice70,can know why get physical bills anymore,Non,can know why get physical bills anymore
Voice238,want the internet and the peo working how long approximately will,Non,want the internet and the peo working how long approximately will
Voice240,the billing portal not displaying recent,Non,the billing portal not displaying recent
Voice30,just want check with you whether have made router payment the 9th november cause just checked november bill that payment has not got,Non,just want check with you whether have made router payment the 9th november cause just checked november bill that payment has not got
Voice20,want log complaint that internet potv not there red color indicator appearing the the reason behind this,Non,want log complaint that internet potv not there red color indicator appearing the the reason behind this
Voice83,can change packages anytime using the,Non,can change packages anytime using the
Voice62,regarding there are two one that this phone very and the other one that fiber they have laid over the electrical now stuck and just hanging the electrical,Non,regarding there are two one that this phone very and the other one that fiber they have laid over the electrical now stuck and just hanging the electrical
Voice40,give you the number can you tell the,Non,give you the number can you tell the
Voice121,interested your fiber optic can you provide more information about the packages you offer for this,Non,interested your fiber optic can you provide more information about the packages you offer for this
Voice55,connection was disconnected because got late the did the payment today how long will take reactivate really urgent for get the connection back have online exam,Non,connection was disconnected because got late the did the payment today how long will take reactivate really urgent for get the connection back have online exam
Voice131,connection was disconnected because got late the did the payment today how long will take reactivate really urgent for get the connection back have online exam,Non,connection was disconnected because got late the did the payment today how long will take reactivate really urgent for get the connection back have online exam
Voice7,just want check have available network because seems have slowed down the,Non,just want check have available network because seems have slowed down the
Voice1,want increase our increase thespeed for the upload and the how fiber how then for the have reconnect,Non,want increase our increase thespeed for the upload and the how fiber how then for the have reconnect
Voice2,want know whether will charged for the for dialing and free whenever happen dial this number charges made the,Non,want know whether will charged for the for dialing and free whenever happen dial this number charges made the
Voice5,can you check and tell balance,Non,can you check and tell balance
Voice6,want log complaint that internet potv not there red color indicator appearing the the reason behind this,Non,want log complaint that internet potv not there red color indicator appearing the the reason behind this
Voice7,would like add some can you tell how much used during peak,Non,would like add some can you tell how much used during peak
Voice8,have the los light blinking red color the router got this for the few days back can know the reason for the number,Non,have the los light blinking red color the router got this for the few days back can know the reason for the number
voice10,can know how much the minimum that should pay get back connection back,Non,can know how much the minimum that should pay get back connection back
voice11,just want check have available network because seems have slowed down the,Non,just want check have available network because seems have slowed down the
voice12,now got our line when shifted when shifted our house colombo and got our telephone line and now its not want know why the not,Non,now got our line when shifted when shifted our house colombo and got our telephone line and now its not want know why the not
voice14,regarding there are two one that this phone very and the other one that fiber they have laid over the electrical now stuck and just hanging the electrical,Non,regarding there are two one that this phone very and the other one that fiber they have laid over the electrical now stuck and just hanging the electrical
voice15,made complaint regarding our internet connection but still get any reply from your sideso can you please check whether what the,Non,made complaint regarding our internet connection but still get any reply from your sideso can you please check whether what the
Voice16,our landline working now under the name,Non,our landline working now under the name
Voice17,phone number billing date today from tommorrow onwards need migrate unlimited day flash,Non,phone number billing date today from tommorrow onwards need migrate unlimited day flash
Voice19,having problem with the online payment have been trying for morning but says not,Non,having problem with the online payment have been trying for morning but says not
Voice20,just want check with you whether have made router payment the 9th november cause just checked november bill that payment has not got,Non,just want check with you whether have made router payment the 9th november cause just checked november bill that payment has not got
Voice23,now what want know that have got message saying pay the arreas upto october otherwise this line will can you tell what the arrears upto that the minimum payment should pay,Non,now what want know that have got message saying pay the arreas upto october otherwise this line will can you tell what the arrears upto that the minimum payment should pay
Voice24,the router there los bar which blinking red right need just make high priority because this business cannot anything without this internet,Non,the router there los bar which blinking red right need just make high priority because this business cannot anything without this internet
Voice25,made few complaints last few but still one attending the resolved that still there are some noises and the internet not,Non,made few complaints last few but still one attending the resolved that still there are some noises and the internet not
Voice26,yes yesterday made the complaint about telephone after the rain big blackout came and island wide powercut after power cut our router gone,Non,yes yesterday made the complaint about telephone after the rain big blackout came and island wide powercut after power cut our router gone
Voice30,today after the payment did not get any message regarding that the payment was done usually when pay after will come today why,Non,today after the payment did not get any message regarding that the payment was done usually when pay after will come today why
Voice31,from today think because the lightning and the the connection got can have technician check phone,Non,from today think because the lightning and the the connection got can have technician check phone
Voice32,you know how much used for this and also your pricing the,Non,you know how much used for this and also your pricing the
voice33,can you please add this,Non,can you please add this
Voice34,there problem connection just has only two lights the others are not only the power button working and the button mean the light telephone line also connected the router,Non,there problem connection just has only two lights the others are not only the power button working and the button mean the light telephone line also connected the router
Voice38,bill showing charges for service never you check those charges,Non,bill showing charges for service never you check those charges
Voice40,can you check remaning amount during the day time,Non,can you check remaning amount during the day time
Voice41,problem with can you help,Non,problem with can you help
Voice44,had technician but the issue still what should next,Non,had technician but the issue still what should next
Voice 45,want shift another data package because the one using right now not enough for can request change package,Non,want shift another data package because the one using right now not enough for can request change package
Voice47,can know why was overcharged last,Non,can know why was overcharged last
Voice49,have the adsl connection how can upgrade fiber optic could you please tell the process,Non,have the adsl connection how can upgrade fiber optic could you please tell the process
Voice50,need clarification the recent service still off,Non,need clarification the recent service still off
Voice52,would like add some also want upgarde internert package,Non,would like add some also want upgarde internert package
Voice53,you check and let know when was the last day have done the payment and how much more should pay,Non,you check and let know when was the last day have done the payment and how much more should pay
Voice54,been experiencing some issues with internet can work together troubleshoot and resolve the appreciate your assistance ensuring smooth thank you for your,Non,been experiencing some issues with internet can work together troubleshoot and resolve the appreciate your assistance ensuring smooth thank you for your
Voice55,observed increase and seeking clarification the additional,Non,observed increase and seeking clarification the additional
Voice58,wanted share positive experience with one your they were incredibly helpful and addressing concerns with please pass gratitude for their excellent assistance,Non,wanted share positive experience with one your they were incredibly helpful and addressing concerns with please pass gratitude for their excellent assistance
Voice59,wanted express concern about the recent service the technician seemed unsure about the and the problem can arrange another visit,Non,wanted express concern about the recent service the technician seemed unsure about the and the problem can arrange another visit
Voice62,the internet connection using right now really slow how can speed the connection,Non,the internet connection using right now really slow how can speed the connection
Voice64,settled balance usually get sms but not paid can you check and resolve whether have done the payment,Non,settled balance usually get sms but not paid can you check and resolve whether have done the payment
Voice66,phone got disconnected after late what can resolve the connection back,Non,phone got disconnected after late what can resolve the connection back
Voice68,can check the oustanding balance for this number,Non,can check the oustanding balance for this number
Voice70,how can activate your meet max package and can know how much data will given this also the price charged for this package,Non,how can activate your meet max package and can know how much data will given this also the price charged for this package
Voice71,interested your internet can you provide details and,Non,interested your internet can you provide details and
Voice73,recently moved colombo how can update address any changes needed for billing information,Non,recently moved colombo how can update address any changes needed for billing information
Voice75,noticed incorrect charge can you review and correct and need,Non,noticed incorrect charge can you review and correct and need
Voice77,connection was disconnected because got late the did the payment today how long will take reactivate really urgent for get the connection back have online exam,Non,connection was disconnected because got late the did the payment today how long will take reactivate really urgent for get the connection back have online exam
Voice78,can you activate more for connection,Non,can you activate more for connection
Voice80,can know why get physical bills anymore,Non,can know why get physical bills anymore
Voice83,remote not buttons need fixed please help can use the remote without any issues,Non,remote not buttons need fixed please help can use the remote without any issues
Voice84,wish sign for prepaid billing assist with the enrollment process and provide details about the features and,Non,wish sign for prepaid billing assist with the enrollment process and provide details about the features and
Voice87,facing difficulty accessing online billing could you please assist solving this issue,Non,facing difficulty accessing online billing could you please assist solving this issue
Voice88,problem with can you help,Non,problem with can you help
Voice90,bill showing charges for premium service,Non,bill showing charges for premium service
Voice95,received late payment but paid you check the issue,Non,received late payment but paid you check the issue
Voice98,can know the remaning for the peak,Non,can know the remaning for the peak
Voice99,landline phone working during,Non,landline phone working during
 Voice101                      ,need breakdown the charges,Non,need breakdown the charges
Voice104,the bill was sent the wrong,Non,the bill was sent the wrong
Voice105,router not connecting know the reason why this not connecting,Non,router not connecting know the reason why this not connecting
Voice108,internet speed much slower than can from end increase the speed,Non,internet speed much slower than can from end increase the speed
Voice111,receive bill for this,Non,receive bill for this
Voice114,how much should pay reactivate connection,Non,how much should pay reactivate connection
Voice116,have two slt connections under the name and want disconnect one the whom should inform about this,Non,have two slt connections under the name and want disconnect one the whom should inform about this
Voice117,interested your fiber optic can you provide more information about the packages you offer for this,Non,interested your fiber optic can you provide more information about the packages you offer for this
Voice119,checked the payment with the bank receipt found that the router account number that have put has additional digits may not have gone can give you the,Non,checked the payment with the bank receipt found that the router account number that have put has additional digits may not have gone can give you the
Voice120,made complaint regarding our internet connection but still get any reply from your can you please check whether what the,Non,made complaint regarding our internet connection but still get any reply from your can you please check whether what the
Voice121,get the text message saying this much due and you have pay something like want get bill before make the,Non,get the text message saying this much due and you have pay something like want get bill before make the
Voice126,have got message pay arrears october otherwise the line will disconnected can you tell what the amount,Non,have got message pay arrears october otherwise the line will disconnected can you tell what the amount
Voice127,want know the difference between the monthly charge and the payable,Non,want know the difference between the monthly charge and the payable
Voice129,just want check with the home give you the number can you tell the,Non,just want check with the home give you the number can you tell the
Voice131,this number registered,Non,this number registered
Voice132,give you the number can you tell the,Non,give you the number can you tell the
Voice134,want change can using myslt,Non,want change can using myslt
Voice139,want the internet and the peo working how long approximately will,Non,want the internet and the peo working how long approximately will
Voice142,get the bill through email regularly there,Non,get the bill through email regularly there
Voice145,the billing portal not displaying recent,Non,the billing portal not displaying recent
Voice149,need receipt for last,Non,need receipt for last
Voice155,can add more for,Non,can add more for
Voice157,the agent did not follow the issue reported previous could you kindly tell whom should report,Non,the agent did not follow the issue reported previous could you kindly tell whom should report
Voice159,there are some noises coming from the and the internet not,Non,there are some noises coming from the and the internet not
Voice160,get the text message saying this much due and you have pay something like want get bill before make the,Non,get the text message saying this much due and you have pay something like want get bill before make the
Voice162,need know the payabale amount,Non,need know the payabale amount
Voice163,indicated only one light working the earlier about bulbs were working but now only one bulb working,Non,indicated only one light working the earlier about bulbs were working but now only one bulb working
Voice165,get not all,Non,get not all
Voice173,stuck with bad internet connection and broken,Non,stuck with bad internet connection and broken
Voice178,the experience was your agent responded positively for all the clarifications had,Non,the experience was your agent responded positively for all the clarifications had
Voice188,already made the complaint change the name and addresses under,Non,already made the complaint change the name and addresses under
Voice189,can have phone technician check phone,Non,can have phone technician check phone
Voice190,wifi working technically that you all can check anything can from,Non,wifi working technically that you all can check anything can from
Voice199,line was disconnected due arrears payment and paid the full can you reconnected line,Non,line was disconnected due arrears payment and paid the full can you reconnected line
Voice201,can change packages anytime using the,Non,can change packages anytime using the
Voice202,not possibly disconnection due loss because made the late only made payment,Non,not possibly disconnection due loss because made the late only made payment
Voice203,just want know whether you have any other router,Non,just want know whether you have any other router
Voice204,always have reconnect and the issue,Non,always have reconnect and the issue
Voice208,really very good services given slt maradana branch went and got work done,Non,really very good services given slt maradana branch went and got work done
Voice212,waiting for the line since september almost very bad customer will get our,Non,waiting for the line since september almost very bad customer will get our
Voice216,peo sports channels are not why that,Non,peo sports channels are not why that
Voice223,can know the amount should pay for the month decemeber and november,Non,can know the amount should pay for the month decemeber and november
Voice224,sometimes get delay getting response from your why,Non,sometimes get delay getting response from your why
Voice225,actually from today think for the lightning and the the connection got,Non,actually from today think for the lightning and the the connection got
Voice226,the internet not the slt but can you tell,Non,the internet not the slt but can you tell
Voice232,can have details about your fiber,Non,can have details about your fiber
Voice233,wifi connection and peo stopped working since last send someone check this,Non,wifi connection and peo stopped working since last send someone check this
Voice237,settled balance today and still get the confirmation know the,Non,settled balance today and still get the confirmation know the
Voice238,have loss signal blinking red lights,Non,have loss signal blinking red lights
Voice240,wifi not need the technical officer and extremely,Non,wifi not need the technical officer and extremely
Voice243,could you please give solution speedup wifi,Non,could you please give solution speedup wifi
Voice245,want add more data for the entertainmet,Non,want add more data for the entertainmet
Voice246,very poor signal from few months many occasions customer care and not resolved yet,Non,very poor signal from few months many occasions customer care and not resolved yet
Voice249,light not and then some other lights are not but the others are,Non,light not and then some other lights are not but the others are
Voice265,you able add more this number calling right now,Non,you able add more this number calling right now
Voice266,can know the current price the fiber connection,Non,can know the current price the fiber connection
Voice269,want change the address which the monthly bill will sent,Non,want change the address which the monthly bill will sent
Voice1,want increase our increase thespeed for the upload and the how fiber how then for the have reconnect,Non,want increase our increase thespeed for the upload and the how fiber how then for the have reconnect
Voice2,want know whether will charged for the for dialing and free whenever happen dial this number charges made the,Non,want know whether will charged for the for dialing and free whenever happen dial this number charges made the
Voice5,can you check and tell balance,Non,can you check and tell balance
Voice158,this the worst service the world they care about the web site there customer service its cannot access your know anything have call the point customer service they have access our,Agg,this the worst service the world they care about the web site there customer service its cannot access your know anything have call the point customer service they have access our
Voice179,your call center agents takes ages answer the phone call and have stay line for more that you think are jobless people like you,Agg,your call center agents takes ages answer the phone call and have stay line for more that you think are jobless people like you
Voice261,worst customer service called them several times fix internet connection they never answered any improve your customer service,Agg,worst customer service called them several times fix internet connection they never answered any improve your customer service
Voice267,pay big big amounts your service and this what get the with your want you fix issue soon,Agg,pay big big amounts your service and this what get the with your want you fix issue soon
Voice146,received bill for line canceled last make sure update your system about cancellation that wont getting bills the,Agg,received bill for line canceled last make sure update your system about cancellation that wont getting bills the
Voice103,services provided worse than government internet breaks down technical team only works from 9am you have issues any time after 5pm will have wait whole day get,Agg,services provided worse than government internet breaks down technical team only works from 9am you have issues any time after 5pm will have wait whole day get
Voice43,worst experience since days wifi not really they said repair going but was days still action very bad service,Agg,worst experience since days wifi not really they said repair going but was days still action very bad service
Voice220,requested data plan but your agent mishandled this ensure your staff processes requests,Agg,requested data plan but your agent mishandled this ensure your staff processes requests
Voice21,paid 6000 for peo connection and telephone line but your company provide any connection,Agg,paid 6000 for peo connection and telephone line but your company provide any connection
Voice118,since this business entirely depend this has given top attention this this not and want connection reconnected right,Agg,since this business entirely depend this has given top attention this this not and want connection reconnected right
Voice177,internet and killing demand immediate action fix,Agg,internet and killing demand immediate action fix
Voice96,have loss signal blinking red lights los flashing red after the only looked indoors and this happened few hours ago before the paid blame better fix quickly,Agg,have loss signal blinking red lights los flashing red after the only looked indoors and this happened few hours ago before the paid blame better fix quickly
Voice122,today your technician came place fix the internet problem and that person dose not know how talk their customers want make complain against that technician,Agg,today your technician came place fix the internet problem and that person dose not know how talk their customers want make complain against that technician
Voice242,your service the worst service ever got,Agg,your service the worst service ever got
Voice147,believe was put hold for over wanted give but cause wanted solution and sometimes your agents does not answer the,Agg,believe was put hold for over wanted give but cause wanted solution and sometimes your agents does not answer the
Voice48,calling reactivate been requesting this for the last three days and still not connected want raise complaint against your regional,Agg,calling reactivate been requesting this for the last three days and still not connected want raise complaint against your regional
Voice130,extremely disappointed with the installation staff were excellent and assured that the fibre connection internet facility will provided its taken almost hours and the internet connection has not been,Agg,extremely disappointed with the installation staff were excellent and assured that the fibre connection internet facility will provided its taken almost hours and the internet connection has not been
Voice166,worst customer service the people working the call center are careless and absolutely unprofessional useless regional manager,Agg,worst customer service the people working the call center are careless and absolutely unprofessional useless regional manager
Voice168,your agent was unable guide through the process updating personal,Agg,your agent was unable guide through the process updating personal
